CRS_DEP_TIME,DELAY_DEP_TIME,CARRIER,DEST,ORIGIN,WEATHER,DAY_WEEK,DAY_MONTH,FLIGHT_STATUS
15,0,OH,JFK,BWI,0,4,1,ontime
16,0,DH,JFK,DCA,0,4,1,ontime
12,0,DH,LGA,IAD,0,4,1,ontime
17,0,DH,LGA,IAD,0,4,1,ontime
10,0,DH,LGA,IAD,0,4,1,ontime
8,0,DH,JFK,IAD,0,4,1,ontime
12,1,DH,JFK,IAD,0,4,1,ontime
16,0,DH,JFK,IAD,0,4,1,ontime
17,0,DH,JFK,IAD,0,4,1,ontime
21,1,DH,JFK,IAD,0,4,1,ontime
21,0,DH,LGA,IAD,0,4,1,ontime
15,1,DL,JFK,DCA,0,4,1,ontime
9,1,DL,LGA,DCA,0,4,1,ontime
12,0,DL,LGA,DCA,0,4,1,ontime
14,0,DL,LGA,DCA,0,4,1,ontime
17,0,DL,LGA,DCA,0,4,1,ontime
20,0,DL,LGA,DCA,0,4,1,ontime
15,0,MQ,JFK,DCA,0,4,1,ontime
6,0,MQ,JFK,DCA,0,4,1,ontime
18,0,MQ,JFK,DCA,0,4,1,ontime
9,0,MQ,LGA,DCA,0,4,1,ontime
13,0,MQ,LGA,DCA,0,4,1,ontime
14,0,MQ,LGA,DCA,0,4,1,ontime
15,0,MQ,LGA,DCA,0,4,1,ontime
19,0,MQ,LGA,DCA,0,4,1,ontime
8,0,UA,LGA,IAD,0,4,1,ontime
9,0,US,LGA,DCA,0,4,1,ontime
11,0,US,LGA,DCA,0,4,1,ontime
13,0,US,LGA,DCA,0,4,1,ontime
15,0,US,LGA,DCA,0,4,1,ontime
17,0,US,LGA,DCA,0,4,1,ontime
21,0,US,LGA,DCA,0,4,1,ontime
15,0,RU,EWR,BWI,0,4,1,ontime
17,0,RU,EWR,BWI,0,4,1,ontime
10,0,RU,EWR,BWI,0,4,1,ontime
7,0,RU,EWR,BWI,0,4,1,ontime
13,0,CO,EWR,DCA,0,4,1,ontime
17,0,CO,EWR,DCA,0,4,1,ontime
8,0,DH,EWR,IAD,0,4,1,ontime
17,0,DH,EWR,IAD,0,4,1,ontime
12,0,DH,EWR,IAD,0,4,1,ontime
21,0,DH,EWR,IAD,0,4,1,ontime
17,0,RU,EWR,IAD,0,4,1,ontime
19,0,RU,EWR,IAD,0,4,1,ontime
15,0,RU,EWR,DCA,0,4,1,ontime
19,0,RU,EWR,DCA,0,4,1,ontime
14,0,RU,EWR,DCA,0,4,1,ontime
15,0,RU,EWR,IAD,0,4,1,ontime
13,0,RU,EWR,IAD,0,4,1,ontime
16,0,RU,EWR,DCA,0,4,1,ontime
15,0,OH,JFK,BWI,0,5,2,ontime
16,1,DH,JFK,DCA,0,5,2,ontime
12,1,DH,LGA,IAD,0,5,2,ontime
15,1,DH,LGA,IAD,0,5,2,delayed
17,0,DH,LGA,IAD,0,5,2,ontime
6,1,DH,LGA,IAD,0,5,2,ontime
10,1,DH,LGA,IAD,0,5,2,delayed
8,1,DH,JFK,IAD,0,5,2,ontime
12,0,DH,JFK,IAD,0,5,2,ontime
15,0,DH,JFK,IAD,0,5,2,ontime
16,0,DH,JFK,IAD,0,5,2,ontime
17,1,DH,JFK,IAD,0,5,2,ontime
21,1,DH,JFK,IAD,0,5,2,delayed
16,0,DH,JFK,IAD,0,5,2,ontime
21,0,DH,LGA,IAD,0,5,2,ontime
15,1,DL,JFK,DCA,0,5,2,ontime
9,0,DL,LGA,DCA,0,5,2,ontime
12,0,DL,LGA,DCA,0,5,2,ontime
14,0,DL,LGA,DCA,0,5,2,ontime
17,0,DL,LGA,DCA,0,5,2,ontime
20,0,DL,LGA,DCA,0,5,2,ontime
15,0,MQ,JFK,DCA,0,5,2,ontime
6,0,MQ,JFK,DCA,0,5,2,ontime
18,1,MQ,JFK,DCA,0,5,2,ontime
9,0,MQ,LGA,DCA,0,5,2,ontime
11,0,MQ,LGA,DCA,0,5,2,ontime
13,0,MQ,LGA,DCA,0,5,2,ontime
14,1,MQ,LGA,DCA,0,5,2,ontime
15,0,MQ,LGA,DCA,0,5,2,ontime
8,0,UA,LGA,IAD,0,5,2,ontime
7,0,US,LGA,DCA,0,5,2,ontime
9,0,US,LGA,DCA,0,5,2,ontime
11,0,US,LGA,DCA,0,5,2,ontime
13,0,US,LGA,DCA,0,5,2,ontime
15,0,US,LGA,DCA,0,5,2,ontime
17,0,US,LGA,DCA,0,5,2,ontime
19,0,US,LGA,DCA,0,5,2,ontime
21,0,US,LGA,DCA,0,5,2,ontime
17,0,RU,EWR,BWI,0,5,2,ontime
10,0,RU,EWR,BWI,0,5,2,ontime
7,0,RU,EWR,BWI,0,5,2,ontime
15,1,RU,EWR,BWI,0,5,2,ontime
17,0,CO,EWR,DCA,0,5,2,ontime
13,1,CO,EWR,DCA,0,5,2,ontime
8,0,CO,EWR,DCA,0,5,2,ontime
8,0,DH,EWR,IAD,0,5,2,ontime
12,1,DH,EWR,IAD,0,5,2,delayed
14,1,DH,EWR,IAD,0,5,2,delayed
6,0,DH,EWR,IAD,0,5,2,ontime
16,0,RU,EWR,DCA,0,5,2,ontime
7,0,RU,EWR,IAD,0,5,2,ontime
9,0,RU,EWR,DCA,0,5,2,ontime
7,0,RU,EWR,DCA,0,5,2,ontime
17,0,RU,EWR,IAD,0,5,2,ontime
19,0,RU,EWR,IAD,0,5,2,ontime
13,0,RU,EWR,IAD,0,5,2,ontime
9,0,RU,EWR,IAD,0,5,2,ontime
19,0,RU,EWR,DCA,0,5,2,ontime
21,0,RU,EWR,DCA,0,5,2,ontime
14,0,RU,EWR,DCA,0,5,2,ontime
15,0,RU,EWR,IAD,0,5,2,delayed
15,0,RU,EWR,DCA,0,5,2,ontime
12,0,DH,LGA,IAD,0,6,3,ontime
17,1,DH,LGA,IAD,0,6,3,ontime
6,0,DH,LGA,IAD,0,6,3,ontime
10,0,DH,LGA,IAD,0,6,3,ontime
8,1,DH,JFK,IAD,0,6,3,ontime
12,0,DH,JFK,IAD,0,6,3,ontime
15,0,DH,JFK,IAD,0,6,3,ontime
16,1,DH,JFK,IAD,0,6,3,ontime
17,1,DH,JFK,IAD,0,6,3,ontime
21,1,DH,JFK,IAD,0,6,3,delayed
16,0,DH,JFK,IAD,0,6,3,ontime
21,1,DH,LGA,IAD,0,6,3,ontime
15,1,DL,JFK,DCA,0,6,3,delayed
8,0,DL,LGA,DCA,0,6,3,ontime
10,0,DL,LGA,DCA,0,6,3,ontime
12,0,DL,LGA,DCA,0,6,3,ontime
14,0,DL,LGA,DCA,0,6,3,ontime
16,0,DL,LGA,DCA,0,6,3,ontime
18,0,DL,LGA,DCA,0,6,3,ontime
20,0,DL,LGA,DCA,0,6,3,ontime
15,1,MQ,JFK,DCA,0,6,3,delayed
6,0,MQ,JFK,DCA,0,6,3,ontime
18,0,MQ,JFK,DCA,0,6,3,ontime
9,0,MQ,LGA,DCA,0,6,3,ontime
13,0,MQ,LGA,DCA,0,6,3,ontime
8,0,UA,LGA,IAD,0,6,3,ontime
7,0,US,LGA,DCA,0,6,3,ontime
9,0,US,LGA,DCA,0,6,3,ontime
11,0,US,LGA,DCA,0,6,3,ontime
13,0,US,LGA,DCA,0,6,3,ontime
15,0,US,LGA,DCA,0,6,3,ontime
17,0,US,LGA,DCA,0,6,3,ontime
19,0,US,LGA,DCA,0,6,3,ontime
17,0,RU,EWR,BWI,0,6,3,ontime
7,0,RU,EWR,BWI,0,6,3,ontime
10,0,RU,EWR,BWI,0,6,3,ontime
15,0,RU,EWR,BWI,0,6,3,ontime
13,0,CO,EWR,DCA,0,6,3,ontime
8,1,DH,EWR,IAD,0,6,3,delayed
17,0,DH,EWR,IAD,0,6,3,ontime
12,1,DH,EWR,IAD,0,6,3,delayed
21,1,DH,EWR,IAD,0,6,3,ontime
6,0,DH,EWR,IAD,0,6,3,ontime
17,0,RU,EWR,IAD,0,6,3,ontime
14,0,RU,EWR,DCA,0,6,3,ontime
7,0,RU,EWR,IAD,0,6,3,ontime
9,1,RU,EWR,DCA,0,6,3,ontime
17,1,RU,EWR,DCA,0,6,3,ontime
16,0,RU,EWR,DCA,0,6,3,ontime
15,0,RU,EWR,IAD,0,6,3,ontime
7,1,RU,EWR,DCA,0,6,3,ontime
15,1,OH,JFK,BWI,0,7,4,delayed
16,1,DH,JFK,DCA,0,7,4,ontime
12,1,DH,LGA,IAD,0,7,4,ontime
15,1,DH,LGA,IAD,0,7,4,delayed
17,1,DH,LGA,IAD,0,7,4,delayed
6,0,DH,LGA,IAD,0,7,4,ontime
10,0,DH,LGA,IAD,0,7,4,ontime
8,1,DH,JFK,IAD,0,7,4,ontime
12,1,DH,JFK,IAD,0,7,4,ontime
15,1,DH,JFK,IAD,0,7,4,ontime
16,0,DH,JFK,IAD,0,7,4,ontime
17,0,DH,JFK,IAD,0,7,4,ontime
21,0,DH,JFK,IAD,0,7,4,ontime
16,0,DH,JFK,IAD,0,7,4,ontime
21,0,DH,LGA,IAD,0,7,4,ontime
15,1,DL,JFK,DCA,0,7,4,ontime
8,0,DL,LGA,DCA,0,7,4,ontime
10,0,DL,LGA,DCA,0,7,4,ontime
12,0,DL,LGA,DCA,0,7,4,ontime
14,1,DL,LGA,DCA,0,7,4,ontime
16,0,DL,LGA,DCA,0,7,4,ontime
18,1,DL,LGA,DCA,0,7,4,ontime
20,0,DL,LGA,DCA,0,7,4,ontime
15,1,MQ,JFK,DCA,0,7,4,delayed
6,0,MQ,JFK,DCA,0,7,4,ontime
7,1,MQ,JFK,DCA,0,7,4,ontime
18,1,MQ,JFK,DCA,0,7,4,delayed
13,0,MQ,LGA,DCA,0,7,4,ontime
15,0,MQ,LGA,DCA,0,7,4,delayed
17,0,MQ,LGA,DCA,0,7,4,ontime
19,1,MQ,LGA,DCA,0,7,4,delayed
8,0,UA,LGA,IAD,0,7,4,ontime
9,0,US,LGA,DCA,0,7,4,ontime
10,0,US,LGA,DCA,0,7,4,ontime
11,0,US,LGA,DCA,0,7,4,ontime
12,0,US,LGA,DCA,0,7,4,ontime
13,0,US,LGA,DCA,0,7,4,ontime
14,0,US,LGA,DCA,0,7,4,ontime
15,0,US,LGA,DCA,0,7,4,ontime
16,0,US,LGA,DCA,0,7,4,ontime
17,0,US,LGA,DCA,0,7,4,ontime
18,0,US,LGA,DCA,0,7,4,ontime
19,0,US,LGA,DCA,0,7,4,ontime
20,0,US,LGA,DCA,0,7,4,ontime
21,0,US,LGA,DCA,0,7,4,ontime
15,1,RU,EWR,BWI,0,7,4,delayed
13,1,RU,EWR,BWI,0,7,4,delayed
16,1,RU,EWR,BWI,0,7,4,delayed
10,1,RU,EWR,BWI,0,7,4,delayed
13,0,CO,EWR,DCA,0,7,4,ontime
16,1,CO,EWR,DCA,0,7,4,delayed
8,1,DH,EWR,IAD,0,7,4,ontime
17,1,DH,EWR,IAD,0,7,4,delayed
12,1,DH,EWR,IAD,0,7,4,delayed
21,1,DH,EWR,IAD,0,7,4,delayed
14,1,DH,EWR,IAD,0,7,4,delayed
17,1,RU,EWR,DCA,0,7,4,delayed
9,0,RU,EWR,DCA,0,7,4,ontime
9,0,RU,EWR,IAD,0,7,4,ontime
19,1,RU,EWR,IAD,0,7,4,delayed
14,0,RU,EWR,DCA,0,7,4,delayed
19,1,RU,EWR,DCA,0,7,4,delayed
15,1,RU,EWR,IAD,0,7,4,delayed
15,1,OH,JFK,BWI,0,1,5,delayed
16,0,DH,JFK,DCA,0,1,5,delayed
12,1,DH,LGA,IAD,0,1,5,delayed
15,1,DH,LGA,IAD,0,1,5,delayed
17,1,DH,LGA,IAD,0,1,5,delayed
6,0,DH,LGA,IAD,0,1,5,delayed
10,1,DH,LGA,IAD,0,1,5,ontime
8,1,DH,JFK,IAD,0,1,5,delayed
12,1,DH,JFK,IAD,0,1,5,delayed
16,1,DH,JFK,IAD,0,1,5,ontime
17,0,DH,JFK,IAD,0,1,5,ontime
21,1,DH,JFK,IAD,0,1,5,delayed
16,1,DH,JFK,IAD,0,1,5,delayed
21,1,DH,LGA,IAD,0,1,5,ontime
15,1,DL,JFK,DCA,0,1,5,ontime
6,0,DL,LGA,DCA,0,1,5,ontime
7,1,DL,LGA,DCA,0,1,5,ontime
8,0,DL,LGA,DCA,0,1,5,ontime
9,1,DL,LGA,DCA,0,1,5,ontime
10,1,DL,LGA,DCA,0,1,5,ontime
11,0,DL,LGA,DCA,0,1,5,ontime
12,0,DL,LGA,DCA,0,1,5,ontime
13,0,DL,LGA,DCA,0,1,5,ontime
14,0,DL,LGA,DCA,0,1,5,ontime
16,1,DL,LGA,DCA,0,1,5,ontime
17,0,DL,LGA,DCA,0,1,5,ontime
18,0,DL,LGA,DCA,0,1,5,ontime
19,1,DL,LGA,DCA,0,1,5,delayed
20,0,DL,LGA,DCA,0,1,5,ontime
15,1,MQ,JFK,DCA,0,1,5,ontime
6,0,MQ,JFK,DCA,0,1,5,ontime
7,0,MQ,LGA,DCA,0,1,5,ontime
8,0,MQ,LGA,DCA,0,1,5,ontime
9,0,MQ,LGA,DCA,0,1,5,ontime
11,1,MQ,LGA,DCA,0,1,5,ontime
13,0,MQ,LGA,DCA,0,1,5,ontime
16,1,MQ,LGA,DCA,0,1,5,delayed
17,1,MQ,LGA,DCA,0,1,5,ontime
19,1,MQ,LGA,DCA,0,1,5,delayed
8,0,UA,LGA,IAD,0,1,5,ontime
6,0,US,LGA,DCA,0,1,5,delayed
7,0,US,LGA,DCA,0,1,5,ontime
8,0,US,LGA,DCA,0,1,5,ontime
9,0,US,LGA,DCA,0,1,5,ontime
10,0,US,LGA,DCA,0,1,5,ontime
11,0,US,LGA,DCA,0,1,5,ontime
12,0,US,LGA,DCA,0,1,5,ontime
13,0,US,LGA,DCA,0,1,5,ontime
14,0,US,LGA,DCA,0,1,5,ontime
15,0,US,LGA,DCA,0,1,5,ontime
16,1,US,LGA,DCA,0,1,5,ontime
17,0,US,LGA,DCA,0,1,5,ontime
18,0,US,LGA,DCA,0,1,5,ontime
19,0,US,LGA,DCA,0,1,5,ontime
20,0,US,LGA,DCA,0,1,5,ontime
21,0,US,LGA,DCA,0,1,5,ontime
7,1,RU,EWR,BWI,0,1,5,delayed
15,1,RU,EWR,BWI,0,1,5,delayed
10,1,RU,EWR,BWI,0,1,5,delayed
13,1,CO,EWR,DCA,0,1,5,delayed
8,0,CO,EWR,DCA,0,1,5,ontime
17,1,CO,EWR,DCA,0,1,5,delayed
8,1,DH,EWR,IAD,0,1,5,ontime
17,1,DH,EWR,IAD,0,1,5,delayed
12,1,DH,EWR,IAD,0,1,5,delayed
21,1,DH,EWR,IAD,0,1,5,delayed
14,1,DH,EWR,IAD,0,1,5,delayed
6,0,DH,EWR,IAD,0,1,5,ontime
7,0,RU,EWR,DCA,0,1,5,ontime
9,1,RU,EWR,DCA,0,1,5,delayed
13,1,RU,EWR,IAD,0,1,5,delayed
21,1,RU,EWR,DCA,0,1,5,ontime
7,0,RU,EWR,IAD,0,1,5,ontime
14,1,RU,EWR,DCA,0,1,5,delayed
19,1,RU,EWR,DCA,0,1,5,delayed
15,1,RU,EWR,IAD,0,1,5,delayed
9,0,RU,EWR,IAD,0,1,5,ontime
15,1,RU,EWR,DCA,0,1,5,delayed
15,0,OH,JFK,BWI,0,2,6,ontime
12,0,DH,LGA,IAD,0,2,6,ontime
15,0,DH,LGA,IAD,0,2,6,ontime
17,1,DH,LGA,IAD,0,2,6,ontime
6,0,DH,LGA,IAD,0,2,6,ontime
10,0,DH,LGA,IAD,0,2,6,ontime
8,1,DH,JFK,IAD,0,2,6,ontime
12,0,DH,JFK,IAD,0,2,6,ontime
15,0,DH,JFK,IAD,0,2,6,ontime
16,0,DH,JFK,IAD,0,2,6,ontime
17,1,DH,JFK,IAD,0,2,6,delayed
21,1,DH,JFK,IAD,0,2,6,delayed
16,0,DH,JFK,IAD,0,2,6,ontime
21,0,DH,LGA,IAD,0,2,6,ontime
15,1,DL,JFK,DCA,0,2,6,ontime
6,0,DL,LGA,DCA,0,2,6,ontime
7,0,DL,LGA,DCA,0,2,6,ontime
8,0,DL,LGA,DCA,0,2,6,ontime
9,0,DL,LGA,DCA,0,2,6,ontime
10,0,DL,LGA,DCA,0,2,6,ontime
11,0,DL,LGA,DCA,0,2,6,ontime
12,0,DL,LGA,DCA,0,2,6,ontime
13,0,DL,LGA,DCA,0,2,6,ontime
14,0,DL,LGA,DCA,0,2,6,ontime
15,0,DL,LGA,DCA,0,2,6,ontime
16,0,DL,LGA,DCA,0,2,6,ontime
17,0,DL,LGA,DCA,0,2,6,ontime
18,0,DL,LGA,DCA,0,2,6,ontime
19,0,DL,LGA,DCA,0,2,6,ontime
20,1,DL,LGA,DCA,0,2,6,ontime
15,1,MQ,JFK,DCA,0,2,6,ontime
6,0,MQ,JFK,DCA,0,2,6,ontime
18,1,MQ,JFK,DCA,0,2,6,ontime
7,0,MQ,LGA,DCA,0,2,6,ontime
8,1,MQ,LGA,DCA,0,2,6,ontime
9,0,MQ,LGA,DCA,0,2,6,ontime
11,0,MQ,LGA,DCA,0,2,6,ontime
13,1,MQ,LGA,DCA,0,2,6,ontime
14,0,MQ,LGA,DCA,0,2,6,ontime
15,1,MQ,LGA,DCA,0,2,6,delayed
16,0,MQ,LGA,DCA,0,2,6,ontime
17,0,MQ,LGA,DCA,0,2,6,ontime
19,1,MQ,LGA,DCA,0,2,6,ontime
8,0,UA,LGA,IAD,0,2,6,ontime
6,0,US,LGA,DCA,0,2,6,ontime
7,0,US,LGA,DCA,0,2,6,ontime
8,0,US,LGA,DCA,0,2,6,ontime
9,0,US,LGA,DCA,0,2,6,ontime
10,0,US,LGA,DCA,0,2,6,ontime
11,0,US,LGA,DCA,0,2,6,ontime
12,0,US,LGA,DCA,0,2,6,ontime
13,0,US,LGA,DCA,0,2,6,ontime
14,0,US,LGA,DCA,0,2,6,ontime
15,0,US,LGA,DCA,0,2,6,ontime
16,0,US,LGA,DCA,0,2,6,ontime
17,0,US,LGA,DCA,0,2,6,ontime
18,0,US,LGA,DCA,0,2,6,ontime
19,0,US,LGA,DCA,0,2,6,ontime
20,0,US,LGA,DCA,0,2,6,ontime
21,1,US,LGA,DCA,0,2,6,ontime
15,0,RU,EWR,BWI,0,2,6,ontime
17,1,RU,EWR,BWI,0,2,6,delayed
7,0,RU,EWR,BWI,0,2,6,ontime
10,1,RU,EWR,BWI,0,2,6,ontime
17,1,CO,EWR,DCA,0,2,6,delayed
13,0,CO,EWR,DCA,0,2,6,ontime
19,0,CO,EWR,DCA,0,2,6,delayed
7,0,CO,EWR,DCA,0,2,6,ontime
8,1,DH,EWR,IAD,0,2,6,ontime
17,0,DH,EWR,IAD,0,2,6,ontime
12,0,DH,EWR,IAD,0,2,6,ontime
21,0,DH,EWR,IAD,0,2,6,ontime
14,1,DH,EWR,IAD,0,2,6,ontime
6,0,DH,EWR,IAD,0,2,6,ontime
21,1,RU,EWR,DCA,0,2,6,delayed
9,0,RU,EWR,DCA,0,2,6,ontime
19,1,RU,EWR,IAD,0,2,6,delayed
15,0,RU,EWR,IAD,0,2,6,ontime
7,0,RU,EWR,IAD,0,2,6,ontime
15,1,RU,EWR,DCA,0,2,6,delayed
13,0,RU,EWR,IAD,0,2,6,ontime
14,0,RU,EWR,DCA,0,2,6,ontime
17,0,RU,EWR,IAD,0,2,6,ontime
16,0,RU,EWR,DCA,0,2,6,ontime
6,0,RU,EWR,DCA,0,2,6,ontime
15,0,OH,JFK,BWI,0,3,7,ontime
16,0,DH,JFK,DCA,0,3,7,ontime
12,1,DH,LGA,IAD,0,3,7,ontime
15,0,DH,LGA,IAD,0,3,7,ontime
17,1,DH,LGA,IAD,0,3,7,delayed
6,0,DH,LGA,IAD,0,3,7,ontime
10,0,DH,LGA,IAD,0,3,7,ontime
8,0,DH,JFK,IAD,0,3,7,ontime
12,0,DH,JFK,IAD,0,3,7,ontime
15,1,DH,JFK,IAD,0,3,7,ontime
16,0,DH,JFK,IAD,0,3,7,ontime
17,1,DH,JFK,IAD,0,3,7,delayed
21,0,DH,JFK,IAD,0,3,7,ontime
16,0,DH,JFK,IAD,0,3,7,ontime
15,1,DL,JFK,DCA,0,3,7,ontime
6,1,DL,LGA,DCA,0,3,7,ontime
8,1,DL,LGA,DCA,0,3,7,ontime
9,1,DL,LGA,DCA,0,3,7,ontime
10,0,DL,LGA,DCA,0,3,7,ontime
11,1,DL,LGA,DCA,0,3,7,ontime
12,1,DL,LGA,DCA,0,3,7,ontime
13,0,DL,LGA,DCA,0,3,7,ontime
14,0,DL,LGA,DCA,0,3,7,ontime
15,0,DL,LGA,DCA,0,3,7,ontime
16,0,DL,LGA,DCA,0,3,7,ontime
17,0,DL,LGA,DCA,0,3,7,ontime
18,0,DL,LGA,DCA,0,3,7,ontime
19,0,DL,LGA,DCA,0,3,7,ontime
20,0,DL,LGA,DCA,0,3,7,ontime
15,0,MQ,JFK,DCA,0,3,7,ontime
6,0,MQ,JFK,DCA,0,3,7,ontime
18,1,MQ,JFK,DCA,0,3,7,delayed
7,0,MQ,LGA,DCA,0,3,7,ontime
8,0,MQ,LGA,DCA,0,3,7,ontime
9,0,MQ,LGA,DCA,0,3,7,ontime
11,0,MQ,LGA,DCA,0,3,7,ontime
13,0,MQ,LGA,DCA,0,3,7,ontime
14,0,MQ,LGA,DCA,0,3,7,ontime
15,0,MQ,LGA,DCA,0,3,7,delayed
16,1,MQ,LGA,DCA,0,3,7,delayed
19,1,MQ,LGA,DCA,0,3,7,delayed
8,0,UA,LGA,IAD,0,3,7,ontime
6,0,US,LGA,DCA,0,3,7,ontime
7,0,US,LGA,DCA,0,3,7,ontime
8,0,US,LGA,DCA,0,3,7,ontime
9,0,US,LGA,DCA,0,3,7,ontime
10,0,US,LGA,DCA,0,3,7,ontime
11,0,US,LGA,DCA,0,3,7,ontime
12,0,US,LGA,DCA,0,3,7,ontime
13,0,US,LGA,DCA,0,3,7,ontime
14,0,US,LGA,DCA,0,3,7,ontime
15,0,US,LGA,DCA,0,3,7,delayed
16,0,US,LGA,DCA,0,3,7,delayed
17,0,US,LGA,DCA,0,3,7,ontime
18,0,US,LGA,DCA,0,3,7,ontime
19,0,US,LGA,DCA,0,3,7,ontime
20,0,US,LGA,DCA,0,3,7,delayed
21,0,US,LGA,DCA,0,3,7,ontime
7,0,RU,EWR,BWI,0,3,7,ontime
